Carla,none,0
Undoubtedly,yes,5
I want to send some money from HDFC Bank,send_money,3
KBC Bank,none,0
engineer,none,0
£258.42,none,0
Yes,yes,5
That is exactly right,yes,5
Luca,none,0
362 euros and 58 cents,none,0
DBS Bank account,none,0
Carmine D'Amico,none,0
I can't confirm that,no,6
Affirmative that's my belief,yes,5
Marcello,none,0
UniCredit Bank Austria,none,0
Would you please execute a transfer,send_money,3
Show my Triodos Bank account balance in $,check_balance,1
CIBC,none,0
Please display the most recent payments to Lucy Johnson,check_transactions,2
Give me a summary of recent payments,check_transactions,2
What are the options for customizing the transaction categories,none,0
Bawag PSK,none,0
Not by any means I can't agree with that,no,6
It is as you say Absolutely,yes,5
Please display the most recent payments to Julian from my Banco BPM,check_transactions,2
Please request 429.55 pounds from Rosario Ceccarelli's account at Erste Group Bank,request_money,4
six dollars and 47 cents,none,0
IDBI Bank account,none,0
8.49 dollars,none,0
Check the balance of my ICBC account,check_balance,1
I deny,no,6
journalist,none,0
Banco Santander account,none,0
Indeed,yes,5
Giulio Amato,none,0
Julian Morgan,none,0
I am instructing a collection of $390.51 from sister-in-law Mirco through my CaixaBank account,request_money,4
Can you tell me the balance for my Credit Mutuel account,check_balance,1
What are the steps to link my insurance policies with the app,none,0
AED76.25,none,0
Austin Howard,none,0
Scotiabank account,none,0
£359 and nine cents,none,0
Royal Bank of Scotland account,none,0
How much do I have in my State Bank of India account in dirhams right now,check_balance,1
Thomas Jones,none,0
What are the latest transactions with Salvatore using my Axis Bank account,check_transactions,2
ING,none,0
Display my euros account balance,check_balance,1
Credit Suisse,none,0
Find the recent payments I made to Cooper Smith from my ING account,check_transactions,2
List all recent transfers,check_transactions,2
Please arrange a payment of 157.01 pounds to Bryson Hall from BBVA account,send_money,3
Bank of Baroda account,none,0
How do I unsubscribe from the newsletter,none,0
SBI Group,none,0
Kindly process a transaction of 324 dirhams and one cent to Mila Diaz,send_money,3
What's the maximum number of accounts I can have in the app,none,0
What are the customization options for the app's appearance,none,0
Can you check the last few transactions to Riley Clark from SBI Group,check_transactions,2
What are my most recent transactions to teacher,check_transactions,2
Please arrange a payment of AED419 and 14 cents to Rodolfo,send_money,3
May I see the balance for my Commonwealth Bank account in £,check_balance,1
No that's not in line with the facts,no,6
455.98 euros,none,0
For sure Affirmative,yes,5
$402.43,none,0
Requesting to dispatch some money to Wyatt Price,send_money,3
What is the current balance of my Lloyds Banking Group account,check_balance,1
Request to receive AED242 and 32 cents please,request_money,4
Requesting to dispatch £420.04,send_money,3
Can you move 59 dirhams and 59 cents to Luigi's account,send_money,3
Initiate a transaction of 17 pounds and 32 cents using Maybank,send_money,3
I need to receive 118 euros and 11 cents,request_money,4
Check if I have any transactions with Franca recently,check_transactions,2
$424.39,none,0
Nope,no,6
I can confirm that Definitely,yes,5
Can you tell me the balance for my AED account,check_balance,1
How to track the performance of my investments in the app,none,0
I disagree with that,no,6
What is the current balance of my Top Bank account in £,check_balance,1
I'd like to see the payment history with Rosaria Giuliani using account Credit Suisse,check_transactions,2
Can you tell me the balance for my Danske Bank account,check_balance,1
Initiate a wire request please,request_money,4
Not by any means not as far as I know,no,6
Not by any means not as far as I know,no,6
Give me a summary of recent payments to Lucrezia Marchetti from my HDFC Bank,check_transactions,2
I can't confirm that,no,6
Clelia,none,0
Can I receive daily financial news summaries through the app,none,0
Would you please execute a request for 253.34 dirhams from Levi Gray,request_money,4
Elisabetta,none,0
Abigail,none,0
How much do I have in my bank account right now,check_balance,1
I can confirm that Of course,yes,5
Display all transactions,check_transactions,2
AED458 and 14 cents,none,0
I'm planning to send some money to Cinzia Amato via Bank of Montreal,send_money,3
Requesting to collect £150.24 using Argenta,request_money,4
€16.24,none,0
Precisely,yes,5
I must disagree,no,6
Liam Howard,none,0
I am instructing a collection of €494 and 22 cents,request_money,4
Can you guide me on setting up account recovery options,none,0
I can confirm that Indeed,yes,5
KBC Bank account,none,0
Groupe BPCE,none,0
May I see the balance for my IDBI Bank account in dirhams,check_balance,1
Could you facilitate the transfer of 271.10 pounds to Jacopo De Angelis from Morgan Stanley,send_money,3
That's false,no,6
Absolutely not not as far as I know,no,6
I'm planning to receive one pound and 33 cents via Bank Austria,request_money,4
May I see the balance for my $ account,check_balance,1
Can you check the last few transactions to Brayden,check_transactions,2
Mizuho Financial Group,none,0
Please request some money,request_money,4
No question about it,yes,5
I'm not convinced so no,no,6
Of course I do,yes,5
SNS Bank,none,0
Requesting to collect some money from Giacomo,request_money,4
I need to receive AED294 and 36 cents from Amelia using my BNP Paribas Singapore account,request_money,4
I'm not convinced so no,no,6
134.61 euros,none,0
I want to send 271 pounds and 72 cents to Daria,send_money,3
I'd like to receive some money from Fulvia,request_money,4
Rossiya Bank,none,0
Kindly process a transaction from my Sumitomo Mitsui Financial Group account,send_money,3
Requesting to dispatch 394.27 dollars to Filomena,send_money,3
Certainly,yes,5
128 dirhams and 73 cents,none,0
Please send 302.94 euros from my account at BNP Paribas Fortis to Emilia,send_money,3
I want to review transactions involving my Wells Fargo account,check_transactions,2
What is the current balance of my Axis Bank account,check_balance,1
Not quite that's off the mark,no,6
How do I manage app permissions on my device,none,0
Alfio Barone,none,0
SEB,none,0
List all recent transfers from my account at Nomura Holdings,check_transactions,2
Can you tell me the balance for my Dexia account in £,check_balance,1
Bawag PSK account,none,0
Enrica,none,0
Check the balance of my bank account in dirhams,check_balance,1
I'd like to see the payment history with Samantha Wilson,check_transactions,2
Display my BNP Paribas account balance,check_balance,1
Would you please execute a transfer of £150.69,send_money,3
328.71 euros,none,0
498.39 dirhams,none,0
Rossiya Bank,none,0
You're right,yes,5
I can confirm that Sure,yes,5
How much do I have in my bank account right now,check_balance,1
Not exactly that's off the mark,no,6
Check if I have any transactions on my Triodos Bank account recently,check_transactions,2
I'm seeking to collect some money through my account with IndusInd Bank,request_money,4
What is the referral program and how does it work,none,0
List all recent transfers to nurse,check_transactions,2
What's the easiest way to navigate to the savings section,none,0
I'd like to receive some money,request_money,4
Not by any means not as far as I know,no,6
Can you explain how to set up facial recognition for login,none,0
Would you please execute a transfer of $209.25 to Lelia,send_money,3
Is there a community forum for app users,none,0
Clearly that's the situation,yes,5
How much do I have in my € account right now,check_balance,1
Please request some money from Laura Ferrara,request_money,4
Standard Chartered Singapore,none,0
What are the encryption standards for storing sensitive data,none,0
AED221 and 41 cents,none,0
Request to receive some money from stepmother please,request_money,4
Can I see the last payments made to Enzo Rizzo,check_transactions,2
stepbrother Renata,none,0
It is as you say Absolutely,yes,5
Show my bank account balance,check_balance,1
How to find the nearest branch or ATM using the app,none,0
Desiderio Vitale,none,0
Absolutely,yes,5
$270 and 43 cents,none,0
How can I track my spending in different categories,none,0
How much do I have in my AED account right now,check_balance,1
Christopher,none,0
No I can't agree with that,no,6
Please display the most recent payments,check_transactions,2
Can you request 252 euros and 99 cents from Eliana Davis's account at Raiffeisen Bank International,request_money,4
Find the recent payments I made,check_transactions,2
Transfer some money to Jeremiah Stewart please,send_money,3
Arrange for a fund transfer of 455 euros and 39 cents to Moreno from ING Belgium,send_money,3
What are my most recent transactions from account Bank of China,check_transactions,2
Wells Fargo,none,0
I need the transaction history involving Ylenia Leone,check_transactions,2
Is there a premium version of the app and what are its benefits,none,0
What transactions have occurred recently on Punjab National Bank account,check_transactions,2
How to find out about exclusive member events through the app,none,0
For sure Absolutely,yes,5
Transfer some money please,send_money,3
What's the process to link my account with wearables,none,0
writer,none,0
No I think you're mistaken,no,6
Is there an option for voice commands in the app,none,0
How do I create a joint account in the app,none,0
Sara,none,0
I'm seeking to collect some money from Willow,request_money,4
May I see the balance for my Future Bank account,check_balance,1
Tell me the total in my bank account,check_balance,1
AED406.31,none,0
Can I get notifications for upcoming app events or webinars,none,0
Far from it I can't agree with that,no,6
By no means that's off the mark,no,6
Rosanna Gallo,none,0
Please arrange a payment of six euros and 94 cents from Banco Santander account,send_money,3
Initiate a transaction,send_money,3
Go for it,yes,5
$378.99,none,0
155.38 dirhams,none,0
127.66 pounds,none,0
